Hardware,
,
Item,Requisitos mínimos
Computador/Notebook,"- Processador de 32 bits ou 64 bits de 2 GHz ou superior;
- Windows 7 / Linux com kernel 4.1 ou edição mais recente;
- 2GB de RAM (recomendado 4GB ou mais);
- 25GB de espaço disponível no disco rígido;"
Cabeamento e roteador para Internet,"- Roteador com o padrão IEEE 802.11ac, ideal para conexões com velocidade acima de 100MB;
- Cabo Ethernet com capacidade de transmissão de 1000Mbps."