Documentos,
,
Documento,Etapa
Documento de Requisitos,"Doc. de Requisitos, Diag. de Classe e Diagrama de Caso de Uso"
Diagrama de Classes,"Doc. de Requisitos, Diag. de Classe e Diagrama de Caso de Uso"
Diagrama de Casos de Uso,"Doc. de Requisitos, Diag. de Classe e Diagrama de Caso de Uso"
Relatório de teste de software,Teste de Software
Cronograma ,Gerência de Projetos
Recursos de Software e Hardware,Gerência de Projetos
Documentos a serem gerados,Gerência de Projetos
Documento de Recursos Humanos,Gerência de Projetos